Product ID,Category,Parent_Chain_Number,Attachment_number,Drawing_number,Spec_Number,Note
ATT-WC-001,Welded Chain,WH78,A1,welded_narrow_att_a1,welded_narrow_att_a1_a22_k1_data,
ATT-WC-002,Welded Chain,WH82,A1,welded_narrow_att_a1,welded_narrow_att_a1_a22_k1_data,
ATT-WC-003,Welded Chain,WH78,A22,welded_narrow_att_a22,welded_narrow_att_a1_a22_k1_data,
ATT-WC-004,Welded Chain,WH124,A22,welded_narrow_att_a22,welded_narrow_att_a1_a22_k1_data,
ATT-WC-005,Welded Chain,WH78,K1,welded_narrow_att_k1,welded_narrow_att_a1_a22_k1_data,
ATT-WC-006,Welded Chain,WH82,K1,welded_narrow_att_k1,welded_narrow_att_a1_a22_k1_data,
ATT-WC-007,Welded Chain,WH78,A2,welded_narrow_att_a2_k2,welded_narrow_att_a2_k2_data,
ATT-WC-008,Welded Chain,WH82,A2,welded_narrow_att_a2_k2,welded_narrow_att_a2_k2_data,
ATT-WC-009,Welded Chain,WHX124,A2,welded_narrow_att_a2_k2,welded_narrow_att_a2_k2_data,
ATT-WC-010,Welded Chain,WHX132,A2,welded_narrow_att_a2_k2,welded_narrow_att_a2_k2_data,
ATT-WC-011,Welded Chain,WHX150,A2,welded_narrow_att_a2_k2,welded_narrow_att_a2_k2_data,
ATT-WC-012,Welded Chain,WHX155,A2,welded_narrow_att_a2_k2,welded_narrow_att_a2_k2_data,
ATT-WC-013,Welded Chain,WHX157,A2,welded_narrow_att_a2_k2,welded_narrow_att_a2_k2_data,
ATT-WC-014,Welded Chain,WH78,K2,welded_narrow_att_a2_k2,welded_narrow_att_a2_k2_data,
ATT-WC-015,Welded Chain,WH82,K2,welded_narrow_att_a2_k2,welded_narrow_att_a2_k2_data,
ATT-WC-016,Welded Chain,WHX124,K2,welded_narrow_att_a2_k2,welded_narrow_att_a2_k2_data,
ATT-WC-017,Welded Chain,WHX132,K2,welded_narrow_att_a2_k2,welded_narrow_att_a2_k2_data,
ATT-WC-018,Welded Chain,WHX150,K2,welded_narrow_att_a2_k2,welded_narrow_att_a2_k2_data,
ATT-WC-019,Welded Chain,WHX155,K2,welded_narrow_att_a2_k2,welded_narrow_att_a2_k2_data,
ATT-WC-020,Welded Chain,WHX157,K2,welded_narrow_att_a2_k2,welded_narrow_att_a2_k2_data,
ATT-WC-021,Welded Chain,WH78,F2,welded_narrow_att_f2,welded_narrow_att_f2_data,
ATT-WC-022,Welded Chain,WH78,F4,welded_narrow_att_f4,welded_narrow_att_f4_data,
ATT-WC-023,Welded Chain,WH82,F4,welded_narrow_att_f4,welded_narrow_att_f4_data,
ATT-WC-024,Welded Chain,WHX124,F4,welded_narrow_att_f4,welded_narrow_att_f4_data,
